[2025-07-31 17:31:21] [INFO] Daily bias for EURUSD: Neutral
[2025-07-31 17:31:21] [INFO] Daily bias for GBPUSD: Bearish
[2025-07-31 17:31:21] [INFO] Daily bias for XAUUSD: Bearish
[2025-07-31 17:31:21] [INFO] Daily bias for EURGBP: Neutral
[2025-07-31 17:31:21] [INFO] Daily bias for EURNZD: Neutral
[2025-07-31 17:34:32] [SUCCESS] Sweep confirmed on HTF for XAUUSD | Type: Bullish | Score: 1.0
[2025-07-31 19:13:47] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:14:18] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:14:49] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:15:20] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:15:52] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:16:24] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:16:55] [SUCCESS] Sweep confirmed on HTF for EURGBP | Type: Bullish | Score: 1.0
[2025-07-31 19:17:26] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:17:58] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:18:29] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:19:00] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:19:31] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:20:02] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:20:33] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:21:05] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:21:37] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:22:08] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:22:39] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:23:10] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:23:41] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:24:12] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:24:43] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:25:15] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:25:46] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:26:18] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:26:49] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:27:21] [SUCCESS] Sweep confirmed on HTF for EURGBP | Type: Bullish | Score: 1.0
[2025-07-31 19:27:51] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:28:23] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:28:54] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:29:25] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:29:56] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:30:28] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:30:59] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:31:31] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:32:02] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:32:33] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:33:04] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:33:36] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:34:07] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:34:38] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:35:09] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:35:40] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:36:11] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:36:43] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:37:15] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:37:46] [SUCCESS] Sweep confirmed on HTF for EURGBP | Type: Bullish | Score: 1.0
[2025-07-31 19:38:17] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:38:48] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:39:19] [SUCCESS] FVG found for EURGBP: 0.86330 - 0.86350 | Type: Bullish | Timeframe: M3
[2025-07-31 19:39:50] [SUCCESS] FVG found for EURGBP: 0.86330 - 0.86350 | Type: Bullish | Timeframe: M3
[2025-07-31 19:40:22] [SUCCESS] FVG found for EURGBP: 0.86330 - 0.86350 | Type: Bullish | Timeframe: M3
[2025-07-31 19:40:53] [SUCCESS] FVG found for EURGBP: 0.86330 - 0.86350 | Type: Bullish | Timeframe: M3
[2025-07-31 19:41:24] [SUCCESS] FVG found for EURGBP: 0.86330 - 0.86350 | Type: Bullish | Timeframe: M3
[2025-07-31 19:41:56] [SUCCESS] FVG found for EURGBP: 0.86330 - 0.86350 | Type: Bullish | Timeframe: M3
[2025-07-31 19:42:27] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:42:58] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:43:30] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:44:01] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:44:32] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:45:03] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:45:34] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:46:05] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:46:36] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:47:08] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:47:40] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:48:11] [SUCCESS] Sweep confirmed on HTF for EURGBP | Type: Bullish | Score: 1.0
[2025-07-31 19:48:42] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:49:14] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:49:45] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:50:15] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:50:47] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:51:18] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:51:49] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:52:22] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:52:53] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:53:24] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:53:55] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:54:26] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:54:57] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:55:28] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:56:00] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:56:31] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:57:02] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:57:34] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:58:05] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:58:37] [SUCCESS] Sweep confirmed on HTF for EURGBP | Type: Bullish | Score: 1.0
[2025-07-31 19:59:08] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 19:59:39] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:00:10] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:00:41] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:01:12] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:01:43] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:02:14] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:02:47] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:03:18] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:03:49] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:04:20] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:04:51] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:05:22] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:05:54] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:06:25] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:06:56] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:07:27] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:07:59] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 20:08:30] [SUCCESS] FVG found for EURGBP: 0.86419 - 0.86446 | Type: Bullish | Timeframe: H1
[2025-07-31 23:04:16] [SUCCESS] Sweep confirmed on HTF for EURNZD | Type: Bullish | Score: 1.0
[2025-07-31 23:04:47] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:05:18] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:05:49] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:06:22] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:06:53] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:07:24] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:07:55] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:08:26] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:08:57] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:09:28] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:10:00] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:10:31] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:11:02] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:11:34] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:12:05] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:12:36] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:13:07] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:13:39] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:14:10] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:14:41] [SUCCESS] Sweep confirmed on HTF for EURNZD | Type: Bullish | Score: 1.0
[2025-07-31 23:15:12] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:15:43] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:16:14] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:16:46] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:17:17] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:17:49] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
[2025-07-31 23:18:20] [SUCCESS] FVG found for EURNZD: 1.93697 - 1.93787 | Type: Bullish | Timeframe: H1
